Date,Open,High,Low,Close,Volume,Adj Close,,Adj Close 364 days ago,Diff with a year ago,Diff-percent
25/09/15,195.800003,196.089996,192.880005,193.850006,7237900,192.746091,26/09/14,194.018017,-1.27193,-0.006556
24/09/15,194.320007,195.589996,192.690002,195.059998,6846100,192.873359,25/09/14,192.362991,0.51037,0.002653
23/09/15,196.259995,196.830002,195.080002,195.759995,4726600,193.565509,24/09/14,195.575697,-2.01019,-0.010278
22/09/15,195.979996,196.639999,194.740005,196.089996,4986300,193.891811,23/09/14,194.072545,-0.18073,-0.000931
21/09/15,198.619995,199.869995,197.399994,198.589996,4907900,196.363786,22/09/14,195.148142,1.21564,0.006229
18/09/15,198,199.75,197.149994,197.550003,5983300,195.335451,19/09/14,196.582267,-1.24682,-0.006342
17/09/15,201.149994,204.050003,200.490005,200.899994,8791400,198.647888,18/09/14,196.814834,1.83305,0.009314
16/09/15,199.919998,201.589996,199.600006,201.410004,5331600,199.152181,17/09/14,195.78769,3.36449,0.017184
15/09/15,197.830002,200.149994,197.229996,199.619995,4680900,197.382238,16/09/14,195.545438,1.83680,0.009393
14/09/15,198.059998,198.149994,196.559998,197.149994,2576600,194.939926,15/09/14,194.053161,0.88677,0.004570
11/09/15,196.440002,197.949997,195.660004,197.919998,3392300,195.701298,12/09/14,194.266343,1.43496,0.007387
10/09/15,195.690002,198.369995,195.380005,196.960007,4904800,194.752069,11/09/14,195.371009,-0.61894,-0.003168
09/09/15,200.440002,200.630005,195.460007,195.910004,7630400,193.713836,10/09/14,195.186896,-1.47306,-0.007547
08/09/15,197.059998,198.75,196.309998,198.669998,6466700,196.442891,09/09/14,194.450457,1.99243,0.010246
04/09/15,194.009995,194.949997,192.710007,193.660004,7237100,191.489059,05/09/14,195.671399,-4.18234,-0.021374
03/09/15,197.399994,199.210007,196.080002,196.710007,9071300,194.504871,04/09/14,196.155902,-1.65103,-0.008417
02/09/15,195.779999,196.589996,193.539993,196.539993,8961900,194.336763,03/09/14,195.264418,-0.92766,-0.004751
01/09/15,194.279999,195.880005,191.830002,192.729996,12412100,190.569476,02/09/14,195.593891,-5.02442,-0.025688
31/08/15,199.350006,200.289993,198.179993,198.75,7316500,196.521996,01/09/14,195.62296,0.89904,0.004596
28/08/15,199.660004,200.990005,199.089996,200.479996,5822600,198.232598,29/08/14,195.700483,2.53212,0.012939
27/08/15,198.25,200.559998,196.339996,200.490005,9720100,198.242496,28/08/14,195.177211,3.06528,0.015705
26/08/15,193.240005,195.880005,189.470001,195.679993,13443500,193.486404,27/08/14,195.361325,-1.87492,-0.009597
25/08/15,196.509995,196.940002,188.039993,188.279999,8894700,186.169364,26/08/14,195.400078,-9.23071,-0.047240
24/08/15,188.509995,196.960007,147.210007,190.520004,13186300,188.384259,25/08/14,195.254733,-6.87047,-0.035187
21/08/15,203,204.119995,198.690002,198.809998,14981000,196.581321,22/08/14,194.246974,2.33435,0.012017
20/08/15,207.789993,208.389999,205.119995,205.130005,8387700,202.83048,21/08/14,194.527979,8.30250,0.042680
19/08/15,210.380005,211.279999,208.600006,209.570007,5296600,207.22071,20/08/14,194.033791,13.18692,0.067962
18/08/15,211.559998,211.940002,210.970001,211.270004,1960500,208.90165,19/08/14,193.520219,15.38143,0.079482
17/08/15,209.940002,211.869995,209.399994,211.869995,2413000,209.494915,18/08/14,192.463991,17.03092,0.088489
14/08/15,209.699997,210.759995,209.520004,210.630005,2011800,208.268825,15/08/14,190.91359,17.35524,0.090906
13/08/15,210,210.809998,209.279999,209.910004,2648100,207.556895,14/08/14,190.845753,16.71114,0.087564
12/08/15,208.350006,210.389999,206.630005,210.119995,4091200,207.764532,13/08/14,190.031791,17.73274,0.093315
11/08/15,210.229996,210.710007,209.020004,209.919998,2778200,207.566777,12/08/14,188.762395,18.80438,0.099619
10/08/15,210.559998,211.929993,210.559998,211.830002,2173300,209.45537,11/08/14,189.033716,20.42165,0.108032
07/08/15,209.429993,209.570007,208.139999,209.179993,3556800,206.835067,08/08/14,188.442622,18.39245,0.097602
06/08/15,211.520004,211.690002,208.899994,209.690002,2999800,207.33936,07/08/14,186.291427,21.04793,0.112984
05/08/15,211.740005,212.580002,211,211.399994,2820000,209.030182,06/08/14,187.279817,21.75037,0.116138
04/08/15,211,211.5,210.070007,210.600006,3046800,208.239162,05/08/14,187.21198,21.02718,0.112318
03/08/15,211.699997,211.800003,209.929993,211.039993,5257200,208.674217,04/08/14,189.07247,19.60175,0.103673
31/07/15,212.740005,212.740005,211.440002,211.759995,4474000,209.386147,01/08/14,187.735251,21.65090,0.115327
30/07/15,211.429993,212.289993,210.699997,212.059998,2181300,209.682787,31/07/14,188.229439,21.45335,0.113974
29/07/15,210.770004,212.309998,210.570007,211.990005,3765300,209.61358,30/07/14,192.105464,17.50812,0.091138
28/07/15,209.059998,210.759995,208.070007,210.580002,2766500,208.219382,29/07/14,192.047326,16.17206,0.084209
27/07/15,208.179993,208.800003,207.509995,207.990005,4497200,205.65842,28/07/14,192.90974,12.74868,0.066086
24/07/15,211.559998,211.639999,208.860001,209.25,3545300,206.90429,25/07/14,192.841903,14.06239,0.072922
23/07/15,212.830002,212.910004,211.039993,211.470001,2800200,209.099405,24/07/14,193.694633,15.40477,0.079531
22/07/15,212.199997,213.050003,212.179993,212.619995,3078200,210.236507,23/07/14,193.704318,16.53219,0.085348
21/07/15,213.690002,214,212.690002,213.029999,2928100,210.641915,22/07/14,193.326406,17.31551,0.089566
20/07/15,214.029999,214.460007,213.539993,213.860001,2361300,211.462612,21/07/14,192.415553,19.04706,0.098989
17/07/15,213.600006,213.850006,213.119995,213.779999,2326500,211.383507,18/07/14,192.77408,18.60943,0.096535
16/07/15,213.190002,213.610001,212.899994,213.550003,4310900,211.15609,17/07/14,190.894206,20.26188,0.106142
15/07/15,212.039993,212.580002,211.360001,211.889999,3262100,209.514695,16/07/14,193.113223,16.40147,0.084932
14/07/15,210.979996,212.339996,210.960007,211.970001,4364400,209.5938,15/07/14,192.33803,17.25577,0.089716
13/07/15,210.279999,211.199997,210.25,211.089996,3189400,208.72366,14/07/14,192.686873,16.03679,0.083227
10/07/15,208.600006,209.25,207.770004,208.789993,4358200,206.44944,11/07/14,191.766305,14.68314,0.076568
09/07/15,208.360001,208.630005,206.080002,206.160004,4401900,203.848933,10/07/14,191.436847,12.41209,0.064836
08/07/15,207.699997,208.050003,205.520004,205.789993,5093200,203.48307,09/07/14,192.299262,11.18381,0.058158
07/07/15,208.240005,209.460007,205.369995,209.320007,5829900,206.973512,08/07/14,191.446546,15.52697,0.081103
06/07/15,207.020004,208.940002,206.820007,208.039993,4563400,205.707847,07/07/14,192.686873,13.02097,0.067576
02/07/15,209.339996,209.570007,208.100006,208.589996,2880700,206.251685,03/07/14,193.326406,12.92528,0.066857
01/07/15,209.080002,209.320007,207.860001,208.839996,4942100,206.498882,02/07/14,192.33803,14.16085,0.073625
30/06/15,208.5,208.509995,206.550003,207.220001,4765100,204.897048,01/07/14,192.153917,12.74313,0.066317
29/06/15,209.309998,210.080002,206.589996,206.729996,5559400,204.412535,30/06/14,190.894206,13.51833,0.070816
26/06/15,211.580002,211.839996,210.449997,211.169998,3169700,208.802765,27/06/14,191.146142,17.65662,0.092372
25/06/15,212.419998,212.529999,211.059998,211.110001,2986900,208.74344,26/06/14,190.564747,18.17869,0.095394
24/06/15,212.970001,213.449997,211.75,211.779999,2056200,209.405927,25/06/14,190.700408,18.70552,0.098089
