Date,Open,High,Low,Close,Volume,Adj Close,,Adj Close 364 days ago,Diff with a year ago,Diff-percent
07/07/15,206.960007,208.169998,204.110001,208.009995,173820200,205.7099,08/07/14,190.327335,15.38257,0.080822
06/07/15,205.770004,207.649994,205.529999,206.720001,117975400,204.434171,07/07/14,191.55906,12.87511,0.067212
02/07/15,208.070007,208.270004,206.809998,207.320007,104373700,205.027542,03/07/14,192.228273,12.79927,0.066584
01/07/15,207.729996,208.029999,206.559998,207.5,135979900,205.205545,02/07/14,191.287497,13.91805,0.072760
30/06/15,207.259995,207.320007,205.279999,205.850006,182925100,203.573796,01/07/14,191.093526,12.48027,0.065310
29/06/15,208.050003,209.830002,205.330002,205.419998,202621300,203.148543,30/06/14,189.822999,13.32554,0.070200
26/06/15,210.289993,210.580002,209.160004,209.820007,104174800,207.499898,27/06/14,189.919992,17.57991,0.092565
25/06/15,211.100006,211.25,209.770004,209.860001,97107400,207.539449,26/06/14,189.551436,17.98801,0.094898
24/06/15,211.720001,212.169998,210.470001,210.509995,92307300,208.182256,25/06/14,189.687217,18.49504,0.097503
23/06/15,212.139999,212.440002,211.570007,212.050003,68476800,209.705236,24/06/14,188.833727,20.87151,0.110529
22/06/15,211.910004,212.589996,211.639999,211.889999,70696000,209.547001,23/06/14,189.978181,19.56882,0.103006
19/06/15,211.460007,211.550003,210.360001,210.809998,130478700,208.478942,20/06/14,190.036371,18.44257,0.097048
18/06/15,211.309998,213.339996,210.630005,212.779999,165867900,209.40855,19/06/14,189.651323,19.75723,0.104177
17/06/15,210.589996,211.320007,209.360001,210.589996,126708600,207.253248,18/06/14,189.438968,17.81428,0.094037
16/06/15,208.929993,210.350006,208.720001,210.25,85308200,206.918639,17/06/14,188.058675,18.85996,0.100288
15/06/15,208.639999,209.449997,207.789993,209.100006,124384200,205.786866,16/06/14,187.537435,18.24943,0.097311
12/06/15,210.639999,211.479996,209.679993,210.009995,135382400,206.682436,13/06/14,187.383007,19.29943,0.102995
11/06/15,211.479996,212.089996,211.199997,211.630005,73876400,208.276778,12/06/14,186.813501,21.46328,0.114891
10/06/15,209.369995,211.410004,209.300003,210.960007,134551300,207.617396,11/06/14,188.145544,19.47185,0.103494
09/06/15,208.449997,209.100006,207.690002,208.449997,105034700,205.147156,10/06/14,188.801918,16.34524,0.086573
08/06/15,209.639999,209.820007,208.389999,208.479996,89063300,205.17668,09/06/14,188.782609,16.39407,0.086841
05/06/15,209.949997,210.580002,208.979996,209.770004,121704700,206.446248,06/06/14,188.589563,17.85669,0.094685
04/06/15,211.070007,211.860001,209.75,210.130005,151882800,206.800545,05/06/14,187.691877,19.10867,0.101809
03/06/15,212,212.669998,211.330002,211.919998,87820900,208.562176,04/06/14,186.475674,22.08650,0.118442
02/06/15,211.020004,212.190002,210.270004,211.360001,91531000,208.011052,03/06/14,186.099229,21.91182,0.117743
01/06/15,211.940002,212.339996,210.619995,211.570007,93338800,208.217731,02/06/14,186.195745,22.02199,0.118273
29/05/15,212.380005,212.429993,210.820007,211.139999,124919600,207.794536,30/05/14,185.98339,21.81115,0.117275
28/05/15,212.330002,212.589996,211.630005,212.460007,74974600,209.093628,29/05/14,185.684166,23.40946,0.126071
27/05/15,211.25,212.979996,210.759995,212.699997,93214000,209.329816,28/05/14,184.728583,24.60123,0.133175
26/05/15,212.399994,212.910004,210.199997,210.699997,124308600,207.361506,27/05/14,184.863717,22.49779,0.121699
22/05/15,213.039993,213.539993,212.910004,212.990005,57433500,209.615229,23/05/14,183.734382,25.88085,0.140860
21/05/15,212.710007,213.75,212.509995,213.5,64764600,210.117143,22/05/14,183.000786,27.11636,0.148176
20/05/15,213.149994,213.779999,212.5,212.880005,76857500,209.506972,21/05/14,182.556782,26.95019,0.147626
19/05/15,213.240005,213.570007,212.690002,213.029999,72114600,209.654589,20/05/14,181.031693,28.62290,0.158110
18/05/15,212.240005,213.399994,212.160004,213.100006,74549700,209.723487,19/05/14,182.180337,27.54315,0.151186
15/05/15,212.440002,212.610001,211.860001,212.440002,76510100,209.073941,16/05/14,181.514316,27.55963,0.151832
14/05/15,211.240005,212.320007,210.910004,212.210007,95934000,208.84759,15/05/14,180.886898,27.96069,0.154576
13/05/15,210.470001,211.220001,209.740005,210.020004,94667900,206.692287,14/05/14,182.489208,24.20308,0.132627
12/05/15,209.610001,210.630005,208.619995,209.979996,119727600,206.652913,13/05/14,183.357937,23.29498,0.127046
11/05/15,211.570007,211.889999,210.520004,210.610001,75708100,207.272935,12/05/14,183.193832,24.07910,0.131441
08/05/15,210.880005,211.860001,210.779999,211.619995,155877300,208.266927,09/05/14,181.427447,26.83948,0.147935
07/05/15,207.919998,209.380005,207.520004,208.869995,88244900,205.5605,08/05/14,181.157165,24.40334,0.134708
06/05/15,209.559998,209.929993,206.759995,208.039993,135060200,204.743649,07/05/14,181.350226,23.39342,0.128996
05/05/15,211.029999,211.460007,208.729996,208.899994,113326200,205.590023,06/05/14,180.28845,25.30157,0.140339
04/05/15,211.229996,212.020004,211.100006,211.320007,70927200,207.971692,05/05/14,181.871451,26.10024,0.143509
01/05/15,209.399994,210.770004,209.279999,210.720001,103399700,207.381193,02/05/14,181.523963,25.85723,0.142445
